Sno,Movie_Name,Director_Name,Director_1,Director_2,Duration,Year,Ratings,Metascore
1,Fast X,Louis Leterrier,Louis Leterrier,,141 min,2023,6.3,55
2,Guardians of the Galaxy Vol. 3,James Gunn,James Gunn,,150 min,2023,8.2,64
3,John Wick: Chapter 4,Chad Stahelski,Chad Stahelski,,169 min,2023,8.0,78
4,Dungeons & Dragons: Honor Among Thieves,"John Francis Daley, Jonathan Goldstein",John Francis Daley,Jonathan Goldstein,134 min,2023,7.3,72
5,Ant-Man and the Wasp: Quantumania,Peyton Reed,Peyton Reed,,124 min,2023,6.1,48
6,Sisu,Jalmari Helander,Jalmari Helander,,91 min,2022,7.0,70
7,The Mother,Niki Caro,Niki Caro,,115 min,2023,5.6,45
8,The Covenant,Guy Ritchie,Guy Ritchie,,123 min,2023,7.5,63
9,Shazam! Fury of the Gods,David F. Sandberg,David F. Sandberg,,130 min,2023,6.0,47
10,F9: The Fast Saga,Justin Lin,Justin Lin,,143 min,2021,5.2,58
11,The Fast and the Furious,Rob Cohen,Rob Cohen,,106 min,2001,6.8,58
12,Guardians of the Galaxy,James Gunn,James Gunn,,121 min,2014,8.0,76
13,Ghosted (I),Dexter Fletcher,Dexter Fletcher,,116 min,2023,5.8,34
14,Avatar: The Way of Water,James Cameron,James Cameron,,192 min,2022,7.7,67
15,Thor,Kenneth Branagh,Kenneth Branagh,,115 min,2011,7.0,57
16,Top Gun: Maverick,Joseph Kosinski,Joseph Kosinski,,130 min,2022,8.3,78
17,Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert",Daniel Kwan,Daniel Scheinert,139 min,2022,7.8,81
18,Heat,Michael Mann,Michael Mann,,170 min,1995,8.3,76
19,65,"Scott Beck, Bryan Woods",Scott Beck,Bryan Woods,93 min,2023,5.4,40
20,Dune,Denis Villeneuve,Denis Villeneuve,,155 min,2021,8.0,74
21,John Wick,"Chad Stahelski, David Leitch",Chad Stahelski,David Leitch,101 min,2014,7.4,68
22,Furious 7,James Wan,James Wan,,137 min,2015,7.1,67
23,Bullet Train,David Leitch,David Leitch,,127 min,2022,7.3,49
24,Guardians of the Galaxy Vol. 2,James Gunn,James Gunn,,136 min,2017,7.6,67
25,Operation Fortune: Ruse de Guerre,Guy Ritchie,Guy Ritchie,,114 min,2023,6.3,51
26,Fast Five,Justin Lin,Justin Lin,,130 min,2011,7.3,66
27,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman",Bob Persichetti,Peter Ramsey,117 min,2018,8.4,87
28,Fast & Furious,Justin Lin,Justin Lin,,107 min,2009,6.5,46
29,The Fate of the Furious,F. Gary Gray,F. Gary Gray,,136 min,2017,6.6,56
30,Inception,Christopher Nolan,Christopher Nolan,,148 min,2010,8.8,74
31,The Batman,Matt Reeves,Matt Reeves,,176 min,2022,7.8,72
32,Fast & Furious 6,Justin Lin,Justin Lin,,130 min,2013,7.0,61
33,Spider-Man: No Way Home,Jon Watts,Jon Watts,,148 min,2021,8.2,71
34,Mad Max Beyond Thunderdome,"George Miller, George Ogilvie",George Miller,George Ogilvie,107 min,1985,6.2,71
35,The Dark Knight,Christopher Nolan,Christopher Nolan,,152 min,2008,9.0,84
